"Year","bank_id","Model","MES","CoVaR","ACoVaR","Size","Lev","Cost_TI","NPA","DSIB","RWA_TA","WPS","ROE","Acquirer","Target","Type","Distance","MES_pos","ACoVar_pos","CoVar_pos","SIZE_ortho","INSTABILITY","ENDOGENOUS","EXOGENOUS","Model_lag","MES_lag","ACoVar_lag","CoVar_lag","SIZE_lag","Lev_lag","Cost_TI_lag","NPA_lag","DSIB_lag","RWA_TA_lag","WPS_lag","ROE_lag","Type_lag","Acquirer_lag","Target_lag","Distance_lag","IMR_BM4","IMR_BM1","IMR_BM2","IMR_BM3","BM1_lag","BM2_lag","BM3_lag"
2016,"AXIS","BM4",-2.6339034,-2.1620638,-0.9112073,13.19899292,10.15370941,20.057424,1.708523477,0,0.5773859,3.5468139,16.81018654,0,0,0,24.98538507,2.6339034,0.9112073,2.1620638,0.987841813736272,1,1,0,"BM4",4.2467082,0.9601529,2.2502801,0.945185676956232,10.33949032,20.99220061,1.361535564,0,0.6801525,3.4179296,17.751721,0,0,0,20.87063198,-0.730615657889837,-0.398396006831925,-0.0934868590377745,-0.437348360535686,0,0,0
2017,"AXIS","BM4",-1.3902801,-1.7173856,-0.724249,13.30712806,10.78623124,21.69509654,5.210405439,0,0.5327072,3.729296,6.755467479,0,0,0,23.55781151,1.3902801,0.724249,1.7173856,0.851124141856326,1,1,0,"BM4",2.6339034,0.9112073,2.1620638,0.987841813736272,10.15370941,20.057424,1.708523477,0,0.5773859,3.5468139,16.81018654,0,0,0,24.98538507,-0.69073549024282,-0.338760246600482,-0.0963301789407242,-0.540904206063485,0,0,0
2018,"AXIS","BM4",-1.6868588,-1.9822629,-0.8533859,13.44637195,10.89647334,24.65371118,6.792709771,0,0.4480951,3.8462144,0.462522246,0,0,0,29.60366089,1.6868588,0.8533859,1.9822629,0.930424538068194,1,1,0,"BM4",1.3902801,0.724249,1.7173856,0.851124141856326,10.78623124,21.69509654,5.210405439,0,0.5327072,3.729296,6.755467479,0,0,0,23.55781151,-0.766208801773446,-0.393517623438792,-0.180810816025253,-0.329528250314437,0,0,0
2019,"AXIS","BM4",-2.0367453,-2.075612,-0.8795682,13.5936119,12.01321286,23.24473267,5.311414417,0,0.4053734,4.2561227,7.188060876,0,0,0,23.42355945,2.0367453,0.8795682,2.075612,1.13309894978222,1,1,0,"BM4",1.6868588,0.8533859,1.9822629,0.930424538068194,10.89647334,24.65371118,6.792709771,0,0.4480951,3.8462144,0.462522246,0,0,0,29.60366089,-0.673451386584995,-0.355053573741244,-0.307755067214995,-0.437753633739553,0,0,0
2020,"AXIS","BM3",-8.3648592,-2.7973687,-1.1031505,13.72685945,10.77325552,22.13668155,4.518377102,0,0.3517679,4.5803425,2.146380408,0,0,0,18.89632334,8.3648592,1.1031505,2.7973687,1.06894411259321,1,0,1,"BM4",2.0367453,0.8795682,2.075612,1.13309894978222,12.01321286,23.24473267,5.311414417,0,0.4053734,4.2561227,7.188060876,0,0,0,23.42355945,-0.763537362858221,-0.386718426506399,-0.241798003315417,-0.29555973770353,0,0,0
2021,"AXIS","BM4",-3.3414018,-1.9394736,-0.7738243,13.80222026,9.712287349,24.3025926,3.544983117,0,0.3247634,4.4799149,7.063,0,0,0,17.47877153,3.3414018,0.7738243,1.9394736,1.28419514254788,0,0,0,"BM3",8.3648592,1.1031505,2.7973687,1.06894411259321,10.77325552,22.13668155,4.518377102,0,0.3517679,4.5803425,2.146380408,0,0,0,18.89632334,-0.76864757659954,-0.402007696394736,-0.134146046087415,-0.344516519036795,0,0,1
2022,"AXIS","BM4",-2.6281433,-2.1697248,-0.8657164,13.97714353,10.20567286,28.58535677,2.573129205,0,0.2817258,4.7842881,12.017395,0,0,0,17.40293384,2.6281433,0.8657164,2.1697248,1.6750936082093,0,0,0,"BM4",3.3414018,0.7738243,1.9394736,1.28419514254788,9.712287349,24.3025926,3.544983117,0,0.3247634,4.4799149,7.063,0,0,0,17.47877153,-0.783010601340312,-0.380592871538592,-0.133034108913267,-0.338796882358992,0,0,0
2023,"AXIS","BM4",-0.9035733,-1.7968893,-0.7698726,14.09111413,10.5035931,38.7914615,1.981530542,0,0.2648164,4.9660866,7.963465,0,0,0,19.93873136,0.9035733,0.7698726,1.7968893,2.16084391493001,0,0,0,"BM4",2.6281433,0.8657164,2.1697248,1.6750936082093,10.20567286,28.58535677,2.573129205,0,0.2817258,4.7842881,12.017395,0,0,0,17.40293384,-0.76400793489749,-0.373560426475471,-0.197053941005912,-0.344687527417297,0,0,0
2024,"AXIS","BM4",-2.8360965,-2.1526307,-0.8936667,14.20566478,9.778850731,26.71506482,1.469527799,0,0.2512882,4.9170369,17.984369,0,0,0,21.62714718,2.8360965,0.8936667,2.1526307,1.88399014799919,0,0,0,"BM4",0.9035733,0.7698726,1.7968893,2.16084391493001,10.5035931,38.7914615,1.981530542,0,0.2648164,4.9660866,7.963465,0,0,0,19.93873136,-0.556310152636321,-0.36546070085751,-0.382884327334049,-0.518731124305698,0,0,0
2019,"BBB","BM3",-1.1132668,-1.7214932,-0.5815184,10.94096375,5.03865264,23.49053981,2.03695175,0,7.2391502,0.3354762,18.96162931,1,0,0,41.39101698,1.1132668,0.5815184,1.7214932,-0.521878990436759,1,1,0,"BM3",2.7424159,0.5320366,1.6138995,-0.686306465231066,4.722906181,23.75083739,1.247409469,0,8.5513052,0.2871713,19.46077012,0,0,0,38.69763204,-0.229149425966399,-0.115164028588195,-0.0402361614529577,-0.934206612231684,0,0,1
